Account number	Name	Part number	Description 1	Quantity	 Price 	 Extension 
10	ACE HARDWARE CORPORATION	10009	REMOVER RUST EXTEND 8 OZ	6	 6.50 	 39.00 
10	ACE HARDWARE CORPORATION	1000957	JB CLEARWELD EPOXY .47OZ	1	 2.57 	 2.57 
10	ACE HARDWARE CORPORATION	1000958	JB EPOXY SYRNG .85OZ	1	 3.71 	 3.71 
10	ACE HARDWARE CORPORATION	1001226	SPRY PAINT BRN CAMO 12OZ	1	 4.99 	 4.99 
10	ACE HARDWARE CORPORATION	1004622	DRYER SHEET MANGO 80PK	6	 4.93 	 29.58 
10	ACE HARDWARE CORPORATION	1004624	FAB SFTNR MNGO 53.5OZ	4	 5.93 	 23.72 
10	ACE HARDWARE CORPORATION	1005776	SANDSPNG ACE JUMBO FN/MD	1	 0.94 	 0.94 
10	ACE HARDWARE CORPORATION	1014282	"ACE BEST ROLLR M 9X9/16"""	2	 2.85 	 5.70 
10	ACE HARDWARE CORPORATION	1015610	MOUNTING PUTTY HS 2OZ	8	 2.60 	 20.80 
10	ACE HARDWARE CORPORATION	1020724	RYL EXT SAT NB QT	4	 9.77 	 39.08 
10	ACE HARDWARE CORPORATION	1024664	DSH SOAP RFL LM VRB 48OZ	2	 7.96 	 15.92 
10	ACE HARDWARE CORPORATION	1024777	ALL PUR CLEANR CRM 16.9O	12	 4.01 	 48.12 
10	ACE HARDWARE CORPORATION	1025288	"MULT-ANGL SCRB BRUSH 10"""	1	 8.47 	 8.47 
10	ACE HARDWARE CORPORATION	1026903	"DW FIBER DISC 60G 4-1/2"""	1	 4.19 	 4.19 
10	ACE HARDWARE CORPORATION	1028616	EGO PRESR WASHR 3200PSI	1	 653.18 	 653.18 
10	ACE HARDWARE CORPORATION	1037010	SPRAY ADHSVE INDR 14.1OZ	1	 9.64 	 9.64 
10	ACE HARDWARE CORPORATION	1037478	HRD RL TWL WHT 1PLY	1	 48.04 	 48.04 
10	ACE HARDWARE CORPORATION	1037811	PRO 10:1 TR CAULK GUN	1	 8.44 	 8.44 
10	ACE HARDWARE CORPORATION	1046259	LADDR 4' FG STEP 225#	1	 54.23 	 54.23 
10	ACE HARDWARE CORPORATION	1099282	SANDSPONG MED BLCK ACE	2	 0.94 	 1.88 
10	ACE HARDWARE CORPORATION	11083	PRE STN WD CONDITNR 32OZ	1	 9.34 	 9.34 
