PARTNUMBER	ALTPARTNUMBER	DESCRIPTION1	DESCRIPTION2	STOCKONHAND	ADD_TO_STOCKONHAND	MINORDERQTY	MINSTOCK	MAXSTOCK	DAYSPCT	SEASONAL	SEASONSTART_MM	SEASONSTART_DD	SEASONEND_MM	SEASONEND_DD	SUPPLIER_NUMBER1	INVSUP_PARTNUMBER1	SUPPLIER_NUMBER2	INVSUP_PARTNUMBER2	SUPPLIERRATIO	BROKENCARTONCODE	UNITCOST	MKTCOST	PLVL_PRICE1	PLVL_REFMARGIN1	PLVL_ROUNDINGID1	PLVL_QTY2	PLVL_PRICE2	PLVL_REFMARGIN2	PLVL_ROUNDINGID2	PLVL_QTY3	PLVL_PRICE3	PLVL_REFMARGIN3	PLVL_ROUNDINGID3	PLVL_QTY4	PLVL_PRICE4	PLVL_REFMARGIN4	PLVL_ROUNDINGID4	CLASSID1	SUBCLASSID1	CLASSID2	SUBCLASSID2	CLASSID3	SUBCLASSID3	PART_MESSAGE	LOCATIONID	DEPTID	UOMID	WEIGHT	CORECHARGE	MFGPARTNUMBER	BINTAGCOUNT	PRINTBINTAGLATER	ORIGINDATE	TAXABLE	TAXCODE	CONSUMERUNITQTY	CONSUMERUNITTEXT	BRANDNAME	HISTORY_52WEEK	DELETED	ITEMTAGREQUIRED	EXT_SYNC	NETPRICE	CLASSNAME1	SUBCLASSNAME1	UNITOFMEASURENAME	DEPARTMENTNAME	IMAGE_ID	MARGIN1	MARGIN2	MARGIN3	MARGIN4	WEEK_CURRENT	WEEK_1	WEEK_2	WEEK_3	WEEK_4	WEEK_5	WEEK_6	WEEK_7	WEEK_8	WEEK_9	WEEK_10	WEEK_11	WEEK_12	WEEK_13	WEEK_14	WEEK_15	WEEK_16	WEEK_17	WEEK_18	WEEK_19	WEEK_20	WEEK_21	WEEK_22	WEEK_23	WEEK_24	WEEK_25	WEEK_26	WEEK_27	WEEK_28	WEEK_29	WEEK_30	WEEK_31	WEEK_32	WEEK_33	WEEK_34	WEEK_35	WEEK_36	WEEK_37	WEEK_38	WEEK_39	WEEK_40	WEEK_41	WEEK_42	WEEK_43	WEEK_44	WEEK_45	WEEK_46	WEEK_47	WEEK_48	WEEK_49	WEEK_50	WEEK_51	WEEK_52	WEEK_53	WEEK_54	WEEK_55	WEEK_56	WEEK_57	WEEK_58	WEEK_59	WEEK_60	WEEK_61	WEEK_62	WEEK_63	WEEK_64	WEEK_65	WEEK_66	WEEK_67	WEEK_68	WEEK_69	WEEK_70	WEEK_71	WEEK_72	WEEK_73	WEEK_74	WEEK_75	WEEK_76	WEEK_77	WEEK_78	WEEK_79	WEEK_80	WEEK_81	WEEK_82	WEEK_83	WEEK_84	WEEK_85	WEEK_86	WEEK_87	WEEK_88	WEEK_89	WEEK_90	WEEK_91	WEEK_92	WEEK_93	WEEK_94	WEEK_95	WEEK_96	WEEK_97	WEEK_98	WEEK_99	WEEK_100	WEEK_101	WEEK_102	WEEK_103	WEEK_104
1022490	052427009821	CONSTRUCT ADHESIVE 2.5OZ		1	0	1	1	999	100	0	  	  	  	  	10				1		6.895	6.88	12.99	0	2													127	2	-1	-1	-1	-1		1591	14	1	0.200000003	0	105045	1	0	09-Mar-2022 00:00:00	1		1	EA	GORILLA		0		0							46.9																																																																																													1															
1022492	638060921579	SPRAY ADHESV SUPER 77	CLOSEOUT: CHECK AVAILABILITY	0	0	0	0	999	100	0	  	  	  	  	10				1		9.64	9.64	16.99	0	2													127	5	-1	-1	-1	-1		0	14	1	1.100000024	0	77-DSC	1	1	02-Sep-2021 00:00:00	1		1	EA	3M	107	0		0							43.3													10		1				2	1			24	5			1				3	2	1	12	1	1		2			12	1			2		1				24		1											25	3					2		24	1					1					12	1			2		24				1						15				1		2		24	
1022495	638060921593	HS90 CNTACT ADHSV 14.6OZ	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10				1		12.84	12.84	19.99	0	2													127	5	-1	-1	-1	-1		-1	14	1	1.100000024	0	90-DSC	1	1	09-Dec-2023 00:00:00	1		1	EA	3M	4	0		0							35.8																1																											2											1																																																						
1022553	052427010360	RUBBER CEMENT INDOOR 4OZ		5	0	6	1	999	100	0	  	  	  	  	10				1		2.5	2.5	6.59	0	2													127	16	-1	-1	-1	-1		740	14	1	0.300000012	0	105779	1	0	11-Jan-2023 00:00:00	1		1	EA		15	0		0							62.1				1	2		1						2				1							2						1	4					1															1						1					1	1			1					1		1		1									1												1										1		
10226	051751012088	LADDR20'EXT ALUM225#WERN		1	0	1	0	999	100	0	  	  	  	  	10	10226			1		187.11	187.11	289.99	0	2													132	5	-1	-1	-1	-1		40040	14	1	27	0	D1220-2	1	1	25-Aug-1995 00:00:00	1		1	EA	WERNER	1	0	0	0	0						35.5							1																																																																																																					
10227	051751012095	LADDR24'EXT ALUM225#WERN		0	0	0	0	999	100	0	  	  	  	  	10	10227			1		184.86	223.91	339.99	0	2													132	5	-1	-1	-1	-1		-1	14	1	33.5	0	D1224-2	1	0	25-Aug-1995 00:00:00	1		1	EA	WERNER	3	0	0	0							45.6																																					1															1				1																			1										1		1														1						1	
10230	051751012132	EXTND LADDER 40' 225#		0	0	1	0	999	100	0	  	  	  	  	10				1		311.82	311.82	589.99	0	2													1132	-1	-1	-1	-1	-1		-1	14	2	0	0	D1240-2	1	0	13-Feb-2019 00:00:00	1		1	EA			0	0	0	0						47.1																																																																																																												
1023068	044681119378	TRI-STEP LDR PLTFRM 225#	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10	1023068			1		77.38	71.72	99.99	0	2													132	1	-1	-1	-1	-1		-1	14	1	16.89999962	0	11-744-CBW2	1	0	26-Feb-1996 00:00:00	1		1	EA	COSCO		0	0	0	0						22.6																																																															1																																													
10233	078143623455	PLASTIC STEEL ADH .84OZ	ITEM CANCELLED BY ACE	0	0	0	0	999	100	0	  	  	  	  	10				1		2.23	2.53	7.99	0	2													127	9	-1	-1	-1	-1		-1	14	1	0.100000001	0	62345	1	0	04-Sep-2021 00:00:00	1		1	OZ	DEVCON		0		0							72.1																																																																																																												
1023334	008925141815	SANDING PAD 120G FINE PK		2	0	1	1	999	100	0	  	  	  	  	10				1		3.55	3.55	9.99	0	2													150	4	-1	-1	-1	-1		670	14	133	0.100000001	0	DNTCAT120H05G	1	0	22-Apr-2022 00:00:00	1		1	EA	Diablo	3	0		0							64.5																																				1					1															1			1																																1																	
