PARTNUMBER	SUPPLIER_NUMBER1	QUANTITY	MKTCOST
10009	10	6	5.41
1000957	10	1	2.57
1000958	10	1	3.71
1001226	10	1	4.84
1004622	10	6	4.93
1004624	10	4	5.93
1005776	10	1	0.94
1006699	10	5	2.76
1006704	10	12	0.74
1010354	10	1	6.36
1014282	10	2	2.83
1015610	10	8	2.60
1017414	10	2	8.15
10189	10	6	0.97
1024664	10	1	7.96
1024777	10	12	4.01
1026903	10	1	4.19
1099282	10	2	0.94
11083	10	1	9.34
1196401	10	6	2.87
12729	10	6	6.23
13012	10	1	0.75
1309277	10	1	3.60
1319912	10	1	29.30
1328772	10	1	3.80
1361054	10	6	1.42
13679	10	4	7.04
13707	10	1	14.53
1372929	10	1	4.70
1373661	10	12	2.94
1395656	10	6	4.28
1395896	10	6	3.88
1396068	10	6	4.07
1397231	10	1	8.24
1415439	10	12	1.72
1425396	10	1	6.39
1465673	10	1	8.30
1467893	10	1	5.71
1490424	10	1	5.66
1498146	10	6	6.18
1498211	10	1	6.74
1502459	10	1	5.25
1523497	10	8	4.12
1528850	10	1	17.39
1532068	10	3	4.29
1574185	10	1	29.37
1589902	10	1	2.09
1590793	10	5	3.98
1605278	10	6	4.81
17003	10	30	2.90
17006	10	6	2.95
17619	10	10	0.95
1787969	10	8	7.38
1804657	10	6	4.93
1804715	10	18	4.28
1812437	10	4	7.20
1864305	10	10	4.98
1895382	10	2	115.79
19749	10	1	4.85
19750	10	2	19.61
2004737	10	1	1.29
2005551	10	1	8.50
2006972	10	1	7.44
2007251	10	2	17.97
2007888	10	1	8.00
2014926	10	1	3.89
2015304	10	1	13.36
2019267	10	1	19.28
2029537	10	1	19.84
20370	10	1	12.32
2037185	10	1	9.36
20586	10	12	0.93
20854	10	12	0.40
2108819	10	1	13.09
2113793	10	1	1.18
2129781	10	1	1.25
21311	10	1	9.34
2131514	10	1	28.82
2170918	10	1	5.72
2182707	10	1	1.84
2198588	10	1	1.18
22009	10	1	1.12
22080	10	1	15.03
2221919	10	1	9.82
2294320	10	5	11.70
2299642	10	1	3.69
2363570	10	3	2.14
23781	10	1	2.40
2385458	10	1	110.55
2386019	10	1	11.56
2400950	10	1	4.93
2400968	10	1	3.36
2408631	10	1	8.27
24539	10	1	1.41
24642	10	1	6.37
24643	10	1	10.55
2554434	10	1	7.54
2567196	10	1	5.58
2620961	10	5	0.68
2621084	10	3	1.89
2621902	10	1	11.16
26508	10	1	2.88
27093	10	1	3.02
2802643	10	1	17.00
2802833	10	1	20.19
2803005	10	1	25.82
2829232	10	1	71.07
2835130	10	1	53.93
29065	10	1	5.47
3002914	10	1	13.60
3005078	10	1	26.40
3008737	10	6	1.04
3009735	10	10	8.46
3014006	10	2	6.44
3015476	10	1	0.94
3016479	10	1	6.61
3016583	10	1	8.60
3016649	10	5	6.00
30204	10	2	8.93
30205	10	3	9.21
3084795	10	2	0.67
31024	10	3	30.87
3182805	10	1	0.13
3193539	10	6	1.97
32036	10	1	2.39
3220787	10	25	0.19
3233228	10	1	21.48
3235785	10	2	2.11
3236411	10	2	1.16
3250487	10	1	10.21
3267424	10	2	1.28
3284908	10	6	2.85
33039	10	1	0.92
3380607	10	1	15.15
3398476	10	1	7.16
3406162	10	1	2.42
3414794	10	6	3.77
34573	10	4	9.01
3515657	10	6	0.67
3531589	10	1	1.60
3765054	10	1	2.62
3925740	10	15	5.49
3927571	10	5	11.78
3929379	10	2	25.22
