PARTNUMBER	SUPPLIER_NUMBER1	QUANTITY	MKTCOST
10009	10	6	5.41
1000956	10	1	12.96
1000957	10	1	2.57
1000958	10	2	3.71
1001206	10	6	7.07
1001226	10	1	4.84
10035	10	12	1.58
1004622	10	6	4.93
1004624	10	4	5.93
1005776	10	1	0.94
1006466	10	6	2.61
1006699	10	5	2.762
1006704	10	12	0.74
1010354	10	1	6.36
1014282	10	2	2.835
1014294	10	12	0.81
1015610	10	8	2.6
10189	10	6	0.97
1024444	10	1	3.64
1024476	10	3	1.92
1024664	10	1	7.96
1024777	10	12	4.01
1025309	10	4	2.2
1026903	10	1	4.19
1029735	10	2	3.49
1067404	10	4	20.15
1099282	10	1	0.94
11083	10	1	9.339
1196401	10	6	2.869
12395	10	4	4.66
12472	10	12	0.51
12729	10	6	6.23
13012	10	2	0.75
1309277	10	1	3.6
1319912	10	1	29.3
1319961	10	1	29.158
13220	10	9	3.57
1361054	10	6	1.42
13679	10	4	7.04
13707	10	1	14.53
1373661	10	12	2.937
1395656	10	6	4.28
1395896	10	6	3.884
1396068	10	6	4.074
1397231	10	1	8.24
1400068	10	6	1.08
1415439	10	12	1.72
1465673	10	1	8.3
1467893	10	1	5.71
1490366	10	1	2.76
1490424	10	1	5.66
1502459	10	1	5.25
1523497	10	8	4.12
1528850	10	1	17.387
1532068	10	3	4.29
1574185	10	1	29.37
1589902	10	1	2.09
1605195	10	2	15.22
1608991	10	1	5.38
1614718	10	1	5.544
17003	10	30	2.897
17004	10	6	2.95
17132	10	6	3.92
17436	10	1	12.57
17619	10	10	0.95
1787969	10	8	7.38
1801620	10	1	6.26
1804715	10	18	4.283
1804814	10	6	4.281
1812437	10	4	7.2
1864305	10	10	4.977
1895382	10	2	115.793
19749	10	1	4.85
19750	10	2	19.61
19807	10	10	1.94
2001535	10	1	2.2
2002178	10	5	1.45
2004737	10	1	1.29
2005551	10	1	8.5
2006972	10	1	7.44
2007888	10	1	8
2019267	10	1	19.28
2029537	10	1	19.84
20370	10	1	12.32
2037185	10	1	9.36
2108819	10	1	13.09
2113793	10	1	1.18
2129781	10	1	1.249
21311	10	1	9.34
2131514	10	1	28.82
2139491	10	1	7.12
2170918	10	1	5.72
2182707	10	1	1.84
2198588	10	1	1.18
22009	10	1	1.12
22080	10	1	15.03
2221919	10	1	9.82
2294320	10	5	11.7
2299642	10	1	3.69
2299881	10	1	3.68
2363570	10	3	2.142
23781	10	1	2.4
2385458	10	1	110.55
2386019	10	1	11.56
2389955	10	1	4.69
2398386	10	1	127.59
23986	10	1	4.82
2400950	10	1	4.93
2400968	10	1	3.36
2402360	10	1	20.85
2408631	10	1	8.27
24525	10	1	7.28
24539	10	1	1.41
24642	10	1	6.37
24643	10	1	10.55
2467033	10	3	7.22
2472587	10	2	10.64
2554434	10	1	7.54
25871	10	20	0.76
2620961	10	5	0.68
2621084	10	3	1.89
2627487	10	1	7.36
27093	10	1	3.024
2809382	10	1	10.59
2813624	10	1	16.213
2814580	10	1	6.2
2829232	10	1	71.07
2835130	10	1	53.93
2861359	10	1	6.76
29065	10	1	5.47
3002914	10	1	13.6
3005936	10	1	6.933
3008729	10	6	1.04
3008737	10	6	1.04
3009735	10	10	8.46
3012610	10	1	3.7
3014006	10	2	6.44
3016479	10	1	6.61
3016583	10	1	8.6
3016649	10	5	5.995
30204	10	2	8.927
30205	10	3	9.208
3084795	10	2	0.674
31024	10	3	30.87
31036	10	1	1.565
3182805	10	1	0.133
3193539	10	6	1.97
32036	10	1	2.39
32108	10	1	8.75
3220787	10	25	0.19
3233228	10	1	21.48
3235785	10	2	2.11
3236411	10	2	1.16
3250487	10	1	10.21
3267424	10	2	1.28
3284908	10	6	2.846
33039	10	1	0.92
3380607	10	1	15.151
33821	10	1	2.25
3398476	10	1	7.16
3406162	10	1	2.42
3414794	10	6	3.77
3435245	10	1	5.3
34573	10	4	9.005
34574	10	2	9.049
34575	10	8	8.457
3515657	10	6	0.668
3531589	10	1	1.6
3800620	10	1	2.89
3925740	10	15	5.49
3927571	10	5	11.78
3929379	10	1	25.22
4003370	10	1	18.62
4006554	10	1	17.81
4008561	10	12	3.6
4011987	10	1	4.96
4021390	10	2	5.07
4027496	10	200	0.229
4028734	10	1	1.26
40359	10	1	0.417
40429	10	1	1.39
40558	10	1	4.54
4060380	10	5	3.01
4067278	10	1	1.143
4067468	10	5	2.79
40688	10	1	1.21
4068847	10	1	1.95
4070629	10	1	26.54
4070959	10	1	1.1
4099024	10	50	1.723
41803	10	2	0.56
4192472	10	12	1.22
4199485	10	1	20.29
4201497	10	1	14.44
4205761	10	1	5.43
4224549	10	1	15.93
4224721	10	1	5.39
4232906	10	1	13.65
42640	10	1	16.101
4267662	10	1	15.23
42677	10	1	4.52
43084	10	1	8.885
43120	10	25	0.71
43794	10	5	0.64
4394763	10	1	4.12
44094	10	1	2.28
4499562	10	1	3.58
4529962	10	2	3.36
4547758	10	1	16.02
4564167	10	1	1.75
4575411	10	1	18.32
46534	10	1	1.04
4739975	10	1	4.42
47658	10	8	3.2
47837	10	1	0.99
47982	10	1	81.72
4806303	10	4	13.1
4806709	10	1	7.46
4808911	10	1	1.58
4871125	10	1	3.1
4872743	10	1	2.56
4872933	10	1	1.87
4917530	10	1	2.84
49358	10	1	16.64
49873	10	2	0.5
49875	10	1	0.61
5000510	10	3	6.105
5006605	10	1	37.14
5011932	10	5	1.46
5012077	10	1	5.98
5020846	10	1	6.17
5021904	10	1	15.52
5028381	10	3	1.05
5028382	10	3	0.97
5035821	10	1	5.78
5035829	10	1	5.78
5037307	10	1	18.26
5044002	10	1	6.08
5081112	10	5	13.4
5094826	10	1	6.94
5096656	10	1	2.14
50993	10	1	11.96
5099452	10	5	2.98
51246	10	1	0.98
51679	10	1	0.648
52114	10	5	2.97
5236633	10	20	2.88
5269196	10	1	29.44
5293071	10	1	2.403
5309224	10	1	7.66
5334214	10	5	4.06
5366414	10	1	10.51
5372743	10	1	7.2
5374871	10	1	3.82
5425434	10	2	1.295
5425707	10	1	1.46
5430806	10	3	2.92
5481973	10	1	6.09
5620612	10	5	4.31
5681556	10	5	1.76
5731757	10	1	1.204
5800693	10	1	7.52
5977533	10	1	31.67
5989066	10	1	1.205
6005975	10	2	6.04
6015027	10	1	7.93
6019419	10	1	13.09
6083824	10	1	1.73
6136733	10	1	8.38
6187116	10	6	6.08
6211726	10	1	3.71
6211775	10	1	4.69
6215214	10	6	1.82
62172	10	1	10.13
62274	10	4	24.626
6409833	10	1	11.85
6502629	10	4	8.77
6562623	10	1	6.46
7004814	10	2	9.766
7004816	10	3	11.02
7006602	10	1	14.37
7006686	10	1	559.11
7007851	10	1	19.735
7010907	10	1	11.37
7011887	10	1	104.13
7016648	10	2	28.096
7024937	10	1	8.36
7026291	10	1	429.83
7029020	10	6	35.39
7030525	10	1	1.075
7030897	10	1	7.52
7031701	10	1	0.658
7033960	10	1	17.08
7035264	10	1	1.884
7036463	10	1	6.98
7036726	10	63	6.882
7037299	10	1	19.25
7038655	10	1	486.26
7040526	10	1	321.13
70560	10	1	1.67
70736	10	36	0.86
7082621	10	1	0.526
70856	10	1	3.03
7094394	10	1	11.93
7094527	10	1	11.26
7094931	10	1	0.35
7100589	10	1	1.26
7107196	10	2	6.827
7107287	10	1	0.543
7118052	10	1	1.046
7130834	10	4	8.6
7131022	10	3	9.27
71459	10	1	10.07
7159908	10	1	13.13
7167117	10	1	16.82
71722	10	1	6.98
71939	10	5	2.135
7196165	10	2	1.186
7199029	10	1	36.74
7200355	10	1	18.47
7215197	10	6	7.79
7215361	10	6	9.53
7239098	10	1	2.34
7260003	10	1	4.75
7266505	10	24	2.71
72702	10	5	2.06
72815	10	1	16.94
